,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
0XX|X0X|0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 X |0 0|X0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0X|XX0|0  ,-3.6,-2.0,-5.065440000000001,-2.0,-2.0,-2.0,-2.0,-3.6,-1.1808
X 0|XX0|  0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 0X|0XX| 0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0X |X X|00 ,-3.6,0.0,0.684,-2.0,0.0,-2.0,-2.0,0.0,0.0
  0|XXX| 00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 XX|00X|00X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 X |X0 |X0 ,6.316204620431805,-5.1677874491840985,-0.35388659884032003,-5.823692565102958,-2.905169397988166,-0.5474188799999999,-4.253890524106462,-3.582871272478546,-2.0
 X0|X0 |X0X,-1.8900488372224,-5.1354816,-5.418590879072256,-3.8803852800000005,-6.3997281792,-3.6,-6.4226794106880005,-7.547915838144512,-2.0
  0|0 X|X X,2.1398510379910567,-4.880000000000001,-2.0,-5.92582496256,-2.0,-2.0,-6.148572466586865,-1.279528647377001,-2.0
X 0|0 X|X0X,-3.6,-4.880000000000001,-5.1354816,-4.880000000000001,-1.731564544,-7.632661108736,-2.0,-2.0,-5.3757281792
XX0|00X|X0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0X| 0X| 0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  0|X X|0X0,0.0,0.0,0.0,0.0,5.904000000000001,0.0,0.0,0.0,0.0
  0|X0X|0X0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0XX|  0|X 0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-1.9527999999999999,-2.0
X00|X X| X0,-2.0,-3.6,0.0,0.0,-3.6,-2.0,-2.0,-2.0,-2.0
XXX|0 0|X0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X 0| X0|X0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0X|00X|  X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0 |0XX| X0,-5.12624,-5.904000000000001,-1.1808,-2.0,-2.0,-2.0,-1.1808,-2.0,-3.7367999999999997
X0X|X0 |0  ,-3.766325504,-2.401359104,-1.9040109465600001,-3.01123219646002,-2.0,0.19760000000000005,-1.443666936728781,9.774820018631475,4.545639777076438
